VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
JA4T5WA9XR,Snohomish,Mukilteo,WA,98275.0,2024,MITSUBISHI,OUTLANDER,PHEV,38.0,0.0,POINT (-122.29943 47.912654)
5YJXCDE20H,Thurston,Olympia,WA,98502.0,2017,TESLA,MODEL X,BEV,200.0,0.0,POINT (-122.943445 47.059252)
1N4AZ1CPXJ,Kitsap,Bremerton,WA,98311.0,2018,NISSAN,LEAF,BEV,151.0,0.0,POINT (-122.636245 47.62806)
1N4AZ0CP6D,King,Seattle,WA,98107.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.3788863 47.6702397)
KNDCE3LG1K,Thurston,Olympia,WA,98512.0,2019,KIA,NIRO,BEV,239.0,0.0,POINT (-122.957046 46.991391)
5YJ3E1EBXL,Thurston,Lacey,WA,98516.0,2020,TESLA,MODEL 3,BEV,322.0,0.0,POINT (-122.78083 47.083975)
5YJSA1E2XG,King,Kirkland,WA,98034.0,2016,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.2026532 47.7210518)
5YJXCAE20L,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL X,BEV,293.0,0.0,POINT (-122.2107298 47.7977268)
1N4AZ0CP6F,King,Seattle,WA,98117.0,2015,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.377938 47.690166)
1N4AZ1CP3K,Snohomish,Everett,WA,98208.0,2019,NISSAN,LEAF,BEV,150.0,0.0,POINT (-122.2032349 47.8956271)
WBY8P8C51K,Skagit,Anacortes,WA,98221.0,2019,BMW,I3,PHEV,126.0,0.0,POINT (-122.6330168 48.4948674)
5YJ3E1EB5J,Kitsap,Poulsbo,WA,98370.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.6368884 47.7469547)
5YJ3E1EBXK,Yakima,Zillah,WA,98953.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-120.2658133 46.4063477)
WBY1Z2C58E,King,Seattle,WA,98119.0,2014,BMW,I3,BEV,81.0,0.0,POINT (-122.36731 47.6377681)
KNDC4DLC0P,Thurston,Tumwater,WA,98512.0,2023,KIA,EV6,BEV,0.0,0.0,POINT (-122.957046 46.991391)
WMWXP3C07M,King,Seattle,WA,98102.0,2021,MINI,HARDTOP,BEV,110.0,0.0,POINT (-122.3212726 47.6296532)
1N4BZ1CPXK,Thurston,Tumwater,WA,98512.0,2019,NISSAN,LEAF,BEV,150.0,0.0,POINT (-122.957046 46.991391)
WBY2Z6C58K,Spokane,Spokane,WA,99201.0,2019,BMW,I8,PHEV,17.0,0.0,POINT (-117.428902 47.658268)
WBY7Z2C5XJ,King,Seattle,WA,98108.0,2018,BMW,I3,BEV,114.0,0.0,POINT (-122.3173531 47.5484673)
1G1FW6S03H,Snohomish,Snohomish,WA,98290.0,2017,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.0483457 47.9435765)
1N4AZ1CP4J,Snohomish,Bothell,WA,98012.0,2018,NISSAN,LEAF,BEV,151.0,0.0,POINT (-122.206146 47.839957)
5YJYGDEFXL,Kitsap,Kingston,WA,98346.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.5178351 47.7981436)
3FA6P0PU8G,Snohomish,Bothell,WA,98012.0,2016,FORD,FUSION,PHEV,19.0,0.0,POINT (-122.206146 47.839957)
5YJ3E1EB9K,Thurston,Olympia,WA,98502.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.943445 47.059252)
